t,steer,gyro_flu,vx,arm,RF_rpm,RF_cur,FL_rpm,FL_cur,RR_rpm,RR_cur,RL_rpm,RL_cur
7.3,0.0,0.0003,0.0,1,0,0.17529296875,0,0.38232421875,0,-0.0965576171875,0,-0.034149169921875
7.32,0.0,0.0002,0.0,1,0,-0.27783203125,0,0.27880859375,0,0.0777587890625,0,0.0208282470703125
7.34,0.0,-0.0007,0.0,1,0,0.177490234375,0,0.51513671875,0,0.12249755859375,0,-0.06500244140625
7.361,0.0,-0.0008,0.0,1,0,-0.228515625,0,0.51708984375,0,-0.07080078125,0,-0.285400390625
7.381,0.0,-0.001,0.0,1,0,-0.0338134765625,0,0.47705078125,0,0.0802001953125,0,0.1702880859375
7.4,0.0,-1e-04,0.0,1,0,0.1934814453125,0,-0.2568359375,0,-0.040435791015625,0,0.2286376953125
7.42,0.0,0.0005,0.0,1,0,-0.11517333984375,0,0.1282958984375,0,-0.095947265625,0,0.0836181640625
7.44,0.0,-0.0019,0.0,1,0,-0.01471710205078125,0,0.43603515625,0,0.07928466796875,0,0.217041015625
7.46,0.0,-1e-04,0.0,1,0,-0.18701171875,0,-0.004528045654296875,0,-0.0966796875,0,-0.2418212890625
7.48,0.0,-0.0002,0.0,1,0,-0.01611328125,0,-0.160400390625,0,0.1416015625,0,0.1544189453125
7.5,0.0,-0.0003,0.0,1,0,0.260009765625,0,0.2147216796875,0,-0.0687255859375,0,0.16455078125
7.52,0.0,0.0005,0.0,1,0,0.079833984375,0,0.281005859375,0,-0.0687255859375,0,0.1505126953125
7.54,0.0,-0.0003,0.0,1,0,0.1480712890625,0,0.1778564453125,0,-0.08392333984375,0,0.17236328125
7.56,0.0,-1e-04,0.0,1,0,0.09686279296875,0,0.462646484375,0,-0.08544921875,0,0.1588134765625
7.582,0.0,0.0011,0.0,1,0,-0.09295654296875,0,-0.08929443359375,0,-0.06097412109375,0,0.09796142578125
7.6,0.0,-0.0008,0.0,1,0,-0.15673828125,0,-0.03533935546875,0,-0.06805419921875,0,0.1806640625
7.62,0.0,-0.0014,0.0,1,0,0.06683349609375,0,-0.1343994140625,0,-0.07171630859375,0,0.1395263671875
7.64,0.0,-0.0005,0.0,1,0,-0.1102294921875,0,0.25048828125,0,0.09344482421875,0,-0.268310546875
7.661,0.0,0.0006,0.0,1,0,-0.1207275390625,0,0.2998046875,0,0.18701171875,0,-0.2379150390625
7.68,0.0,0.0004,0.0,1,0,-0.09747314453125,0,0.262939453125,0,0.13134765625,0,-0.2509765625
7.7,0.0,-0.0006,0.0,1,0,-0.09747314453125,0,0.62109375,0,-0.12103271484375,0,0.1688232421875
7.72,0.0,-0.0009,0.0,1,0,0.0989990234375,0,-0.05584716796875,0,-0.10614013671875,0,0.164794921875
7.74,0.0,-0.0005,0.0,1,0,-0.1495361328125,0,-0.62109375,0,0.201904296875,0,-0.1964111328125
7.761,0.0,-0.0,0.0,1,0,-0.1495361328125,0,-0.168701171875,0,-0.07318115234375,0,-0.306884765625
7.781,0.0,-0.0008,0.0,1,0,0.2138671875,0,-0.60693359375,0,0.09576416015625,0,0.18505859375
7.801,0.0,-0.0006,0.0,1,0,-0.01357269287109375,0,0.406494140625,0,0.11639404296875,0,0.12841796875
7.82,0.0,-1e-04,0.0,1,0,0.21923828125,0,0.47412109375,0,0.1590576171875,0,-0.11602783203125
7.84,0.0,0.0,0.0,1,0,0.062744140625,0,0.37451171875,0,0.14697265625,0,0.08636474609375
7.86,0.0,0.0003,0.0,1,0,-0.12744140625,0,0.08746337890625,0,0.1551513671875,0,0.15869140625
7.881,0.0,-0.0004,0.0,1,0,-0.093505859375,0,0.08746337890625,0,-0.0789794921875,0,-0.25732421875
7.901,0.0,-0.0003,0.0,1,0,-0.1217041015625,0,0.493896484375,0,0.10650634765625,0,0.055633544921875
7.92,0.0,-0.0008,0.0,1,0,-0.023162841796875,0,0.2008056640625,0,0.16162109375,0,0.211181640625
7.94,0.0,0.0011,0.0,1,0,-0.1490478515625,0,0.2008056640625,0,0.12939453125,0,-0.11822509765625
7.96,0.0,-0.0014,0.0,1,0,-0.052520751953125,0,0.102294921875,0,0.1680908203125,0,0.12493896484375
7.98,0.0,-1e-04,0.0,1,0,0.1373291015625,0,0.2288818359375,0,0.1387939453125,0,-0.020477294921875
8.0,0.0,-0.0,0.0,1,0,0.1357421875,0,0.307373046875,0,0.11029052734375,0,0.2073974609375
8.02,0.0,-1e-04,0.0,1,0,0.181396484375,0,-0.10455322265625,0,0.1336669921875,0,0.1748046875
8.04,0.0,-0.0009,0.0,1,0,-0.07989501953125,0,0.05029296875,0,0.1478271484375,0,0.21728515625
8.06,0.0,-0.0013,0.0,1,0,0.181884765625,0,0.267578125,0,0.11004638671875,0,0.0207672119140625
8.08,0.0,0.0,0.0,1,0,-0.072265625,0,-0.63427734375,0,-0.08856201171875,0,-0.0291900634765625
8.1,0.0,-0.0005,0.0,1,0,0.097412109375,0,-0.13818359375,0,0.10888671875,0,0.1893310546875
8.12,0.0,-0.0009,0.0,1,0,-0.12298583984375,0,0.30615234375,0,0.135498046875,0,0.1893310546875
8.14,0.0,0.0005,0.0,1,0,-0.083740234375,0,-0.189697265625,0,-0.05645751953125,0,-0.03179931640625
8.16,0.0,-0.0003,0.0,1,0,0.11279296875,0,0.43115234375,0,-0.1341552734375,0,0.06524658203125
8.181,0.0,-0.0002,0.0,1,0,0.007221221923828125,0,0.430419921875,0,0.142333984375,0,0.0750732421875
8.201,0.0,-0.0004,0.0,1,0,0.173828125,0,0.1077880859375,0,0.08868408203125,0,0.12469482421875
8.22,0.0,-0.0005,0.0,1,0,0.045806884765625,0,0.14892578125,0,-0.10882568359375,0,0.2265625
8.24,0.0,-0.0009,0.0,1,0,-0.1202392578125,0,-0.62841796875,0,0.1602783203125,0,-0.2313232421875
8.26,0.0,-0.0,0.0,1,0,0.0304107666015625,0,0.46875,0,0.13037109375,0,0.11224365234375
8.28,0.0,-0.0,0.0,1,0,0.10015869140625,0,0.2322998046875,0,0.1827392578125,0,0.11712646484375
8.3,0.0,-0.0006,0.0,1,0,0.07818603515625,0,-0.291748046875,0,0.1650390625,0,-0.21630859375
8.32,0.0,-0.001,0.0,1,0,-0.09283447265625,0,0.091064453125,0,0.10858154296875,0,-0.1953125
8.34,0.0,0.0006,0.0,1,0,0.11444091796875,0,-0.123046875,0,0.1512451171875,0,-0.2529296875
8.36,0.0,-0.0002,0.0,1,0,0.1702880859375,0,0.466796875,0,0.07537841796875,0,-0.0235137939453125
